Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
208,Palmsens,5.0,100,0.6639492217588103,-0.5376497343808962,0.12871708968134582,0,0.060346908,-136.369,0.240486,131.427776,0.180139092
209,Palmsens,5.0,100,0.8937682869502502,-0.27350325685660043,0.12867375053081143,0,0.060346908,-136.622,0.240486,131.502936,0.180139092
210,Palmsens,5.0,100,0.6623734393652185,-0.4330372826913536,0.036559784016423735,0,0.060346908,-136.754,0.250494,132.179336,0.190147092
211,Palmsens,5.0,100,1.2381978799404874,-0.6731096383881378,0.22673150300659844,0,0.040331348,-111.117064,0.240486,103.780032,0.200154652
212,Palmsens,5.0,100,1.3580634046124684,-0.6890734932546245,0.22674652919511282,0,0.040331348,-111.417688,0.240486,103.582752,0.200154652
213,Palmsens,5.0,100,0.7961588024218714,-0.7873044118456001,0.2266671751162702,0,0.040331348,-112.150456,0.240486,103.601536,0.200154652
214,Palmsens,5.0,100,0.8027986681141106,-0.1886839440222583,0.22661228206411207,0,0.040331348,-112.281976,0.240486,103.780032,0.200154652
215,Palmsens,5.0,100,1.087179997656528,-0.6385325572945724,0.22658618511410594,0,0.040331348,-112.36652,0.240486,103.855184,0.200154652
216,Palmsens,5.0,100,1.590274189288428,-0.33216051717987993,0.22657778863821257,0,0.040331348,-112.469864,0.240486,103.845792,0.200154652
217,Palmsens,5.0,100,1.2859037085764315,-0.6935144812307346,0.2265200827059757,0,0.040331348,-112.714112,0.240486,103.986704,0.200154652
218,Palmsens,5.0,100,0.8382698551231644,-0.6010723025504334,0.27095132586128745,0,0.03032357,-113.212016,0.240486,104.090048,0.21016243
219,Palmsens,5.0,100,0.7227424747318152,-0.16685099152517896,0.27089542244754006,0,0.03032357,-113.5878,0.240486,104.1652,0.21016243
220,Palmsens,5.0,100,0.9544762088601777,-0.7465816042334619,0.2708936191103042,0,0.03032357,-113.456272,0.240486,104.23096,0.21016243
221,Palmsens,5.0,100,1.5849523983561826,-0.7193939403612787,0.5396821231518998,0,0.03032357,-134.828,0.210463,125.105344,0.18013943
222,Palmsens,5.0,100,2.2257098108091835,-0.22066582634048626,0.5396968111814251,0,0.03032357,-135.345,0.210463,124.81412,0.18013943
223,Palmsens,5.0,100,2.021093528131221,-0.0666702776939323,0.5396786208254039,0,0.03032357,-135.608,0.210463,124.776528,0.18013943
224,Palmsens,5.0,100,2.146676941982932,-1.013280055477097,0.5396399664287682,0,0.03032357,-135.73,0.210463,124.889264,0.18013943
225,Palmsens,5.0,100,1.3293792575246652,-0.45649282369176525,0.5396227575587276,0,0.03032357,-135.749,0.210463,124.955024,0.18013943
226,Palmsens,5.0,100,1.6487167382337853,-0.5587552537255269,0.5396144815802223,0,0.03032357,-135.702,0.210463,125.0114,0.18013943
227,Palmsens,5.0,100,1.894795612413688,-0.3936773603143051,0.5396168760573118,0,0.03032357,-135.636,0.210463,125.030184,0.18013943
228,Palmsens,5.0,100,2.177690864034716,-0.6474587656886736,0.5396258357008672,0,0.03032357,-135.655,0.210463,124.983208,0.18013943
229,Palmsens,5.0,100,1.610708367218553,-0.635980694954732,0.5396310067852128,0,0.03032357,-135.711,0.210463,124.93624,0.18013943
230,Palmsens,5.0,100,2.354841808079806,-0.5687202332191477,0.5395542581325977,0,0.03032357,-135.843,0.210463,125.20868,0.18013943
281,Palmsens,10.0,100,1.089436253421061,0.23699152301349954,0.19707230281664323,0,0.010308012,-260.976,0.27051,248.842,0.260201988
